status,orbital_period,planet_radius,stellar_radius,insolation_flux,equilibrium_temperature,stellar_effective_temperature,stellar_surface_gravity
CANDIDATE,6.662,1.59,0.48,,,,
CONFIRMED,2.71578,1.03,,,,,
CONFIRMED,2.0478,0.908,0.66,,,4520.0,4.66
CANDIDATE,,35.0,1.27,,,,
FALSE POSITIVE,27.24273,31.73,0.92,,707.0,6166.0,
FALSE POSITIVE,27.27048734,,2.56,,,5990.87,3.66
FALSE POSITIVE,27.242912,18.8,0.9,,,5547.0,
FALSE POSITIVE,27.242808,93.0,2.54,,,,
CANDIDATE,1.395336,0.76,0.28,,,,
CANDIDATE,1.3951513,0.879,0.32,,,3390.0,
CANDIDATE,1.39533316,,0.42,,,3433.0,4.8
CANDIDATE,15.3791,1.89,0.34,,,,
CANDIDATE,33.5116,2.89,0.88,,,,
CANDIDATE,33.515399,2.03,0.65,,,4222.0,
CANDIDATE,33.513607,2.473,0.86,,,5628.0,4.57
CANDIDATE,33.5107,2.14,0.9,,,5683.0,4.5
CANDIDATE,33.51569,3.83,0.71,,613.0,5552.0,
CONFIRMED,3.96165,1.48,0.63,,,,
CONFIRMED,3.96151,1.0,,,,,
CANDIDATE,6.97251,2.01,0.63,,,,
CONFIRMED,4.16959,1.1,,,,,
CONFIRMED,4.1698,1.04,0.63,,,5053.0,4.59
CONFIRMED,4.16888,1.41,0.63,,,,
CANDIDATE,12.339133,2.59,0.73,,,4751.0,
CANDIDATE,12.3389,2.11,0.63,,,,
CANDIDATE,2.89465,1.75,0.7,,,,
CANDIDATE,3.83794,1.51,0.81,,,,
CANDIDATE,5.24086,1.46,0.81,,,,
CANDIDATE,2790.0,12.2,0.93,,,5100.0,
CANDIDATE,8.91058,2.8,1.03,,,,
CANDIDATE,28.2671,2.94,1.03,,,,
CANDIDATE,28.2717,,1.03,,,5564.0,4.41
CANDIDATE,28.271761,2.71,0.93,,,5548.0,4.42
CANDIDATE,28.2692,3.35,1.29,,,5631.0,4.2
CANDIDATE,28.270642,2.79,0.9,,,5545.0,
CANDIDATE,4.73172,1.7,1.03,,,,
CANDIDATE,0.78214992,1.29,0.79,,,5144.0,
CANDIDATE,0.782022,1.58,0.94,,,,
CANDIDATE,15.4769,2.89,0.66,,,,
CANDIDATE,6.4498648,2.63,0.85,,,5395.0,
CANDIDATE,6.45027,2.29,0.89,,,,
FALSE POSITIVE,1.19478,1.65,0.23,,,3671.0,5.05
FALSE POSITIVE,,,0.7,,,4786.0,
FALSE POSITIVE,1.57753,26.0,1.93,,,7747.0,4.08
FALSE POSITIVE,1.5771832,33.4,1.94,,,8210.0,
CANDIDATE,3.262038,,5.27,,,10318.0,
CANDIDATE,4.4654,45.0,2.3,,,,
CANDIDATE,21.140574,31.5,1.29,,,6205.0,
CANDIDATE,5.74372,,,,,,
CANDIDATE,3.2923818,19.6,1.87,,,7824.0,
CANDIDATE,6.90487,53.0,1.45,,,6599.0,4.24
CANDIDATE,6.9055211,33.6,1.89,,,6722.0,
CANDIDATE,6.905053,,,,,,
CANDIDATE,1.696374,35.3,1.79,,,,
CANDIDATE,3.0459383,19.0,0.89,,,5529.0,
CANDIDATE,3.04622,29.0,0.89,,,5529.0,4.5
CANDIDATE,3.046136,76.0,1.7,,,,
CANDIDATE,3.2367,1.58,0.74,,,4863.0,4.6
CANDIDATE,3.23792,,0.64,,,4500.0,4.68
CANDIDATE,3.238542,1.67,0.69,,,4446.0,
CANDIDATE,6.2719092,60.0,1.81,,,7254.0,
FALSE POSITIVE,23.7782,98.0,2.09,,,7498.0,4.03
CANDIDATE,1.42636,6.66,4.28,,,,
CANDIDATE,3.979287,37.5,1.84,,,7430.0,
CANDIDATE,2.1417519,86.2,1.59,,,6492.0,
CANDIDATE,2.86136,,0.5,,,3697.0,4.74
CANDIDATE,3.10622,,0.5,,,3636.0,4.74
CANDIDATE,1.814553,,10.06,,,4618.0,
CANDIDATE,17.1541,,16.13,,,4930.0,
CANDIDATE,12.1507,1.48,0.83,,,,
CANDIDATE,2.4343734,61.4,0.9,,,5568.0,
CANDIDATE,1.8490876,17.3,0.96,,,5693.0,
CANDIDATE,2.620724,11.7,1.14,,,6013.0,
CANDIDATE,2.62077,58.0,1.4,,,6302.0,4.23
CANDIDATE,2.620799,37.0,1.73,,,,
CANDIDATE,1.314437,3.1,1.47,,,6009.0,4.09
CANDIDATE,1.3144014,2.78,1.23,,,6137.0,
CANDIDATE,4.8045244,3.62,1.28,,,6187.0,
CANDIDATE,6.14818,,2.29,,,6591.31,
CANDIDATE,1.49761,,,,,,
CANDIDATE,6.479656,3.332,0.92,,,5586.0,4.5
CANDIDATE,6.4804111,3.39,0.89,,,5537.0,
CANDIDATE,6.48167,3.46,0.92,,,,
CANDIDATE,2.8445331,65.3,1.16,,,6045.0,
CANDIDATE,0.6687,2.22,1.94,,,,
CANDIDATE,13.3461,42.0,2.58,,,,
CANDIDATE,4.1376047,7.33,0.7,,,4581.0,
CANDIDATE,4.13737,24.5,1.03,,,,
CANDIDATE,2.469851,6.6,1.48,,,,
CANDIDATE,0.689647,6.58,1.08,,,6481.0,4.0
CANDIDATE,0.690458,,1.51,,,6912.12,
CANDIDATE,4.1687922,16.1,1.14,,,6005.0,
CANDIDATE,21.17051,81.0,2.54,,,,
CANDIDATE,5.319075,20.0,2.28,,,,
CANDIDATE,5.31937554,19.668,2.37,1968.9,1699.0,6350.0,3.79
FALSE POSITIVE,12.86772,71.0,1.79,,,6861.0,4.11
FALSE POSITIVE,12.866412,61.0,1.64,,,,
FALSE POSITIVE,12.866539,22.3,1.18,,,6066.0,
FALSE POSITIVE,1.8461222,19.5,1.82,,,7536.0,
FALSE POSITIVE,1.84617,2.14,0.21,,,3252.0,5.08
CANDIDATE,6.6223,,5.55,,,5000.0,
CANDIDATE,0.5217136,452.0,11.27,,,,
CANDIDATE,11.975818,8.43,0.28,,,3320.0,
CANDIDATE,11.97495,256.0,3.4,,,5200.0,3.32
CANDIDATE,5.9895,2.04,1.03,,,,
